before_id,after_id,iou,before_h_m,after_h_m,delta_m,class,area_m2,reason
667,667,1.0,81.23,14.79,-66.44,COLLAPSED,34.5,lost 82% of 81.2 m
674,674,1.0,81.22,16.88,-64.34,COLLAPSED,33.8,lost 79% of 81.2 m
1136,1136,1.0,67.66,15.72,-51.94,COLLAPSED,13.0,lost 77% of 67.7 m
581,581,1.0,53.72,8.25,-45.47,COLLAPSED,44.4,lost 85% of 53.7 m
889,889,1.0,45.83,7.43,-38.4,COLLAPSED,20.3,lost 84% of 45.8 m
1182,1182,1.0,40.71,2.5,-38.21,COLLAPSED,12.2,lost 94% of 40.7 m
568,568,1.0,40.7,3.85,-36.85,COLLAPSED,45.7,lost 91% of 40.7 m
1098,1098,1.0,30.43,3.54,-26.89,COLLAPSED,13.8,lost 88% of 30.4 m
349,349,1.0,34.38,7.8,-26.58,COLLAPSED,107.4,lost 77% of 34.4 m
855,855,1.0,30.99,6.5,-24.49,COLLAPSED,21.6,lost 79% of 31.0 m
1120,1120,1.0,24.66,2.54,-22.12,COLLAPSED,13.4,lost 90% of 24.7 m
786,786,1.0,24.72,2.68,-22.04,COLLAPSED,25.8,lost 89% of 24.7 m
472,472,1.0,23.18,1.4,-21.78,COLLAPSED,64.3,lost 94% of 23.2 m
514,514,1.0,23.83,2.45,-21.38,COLLAPSED,54.9,lost 90% of 23.8 m
587,587,1.0,21.93,1.22,-20.71,COLLAPSED,43.6,lost 94% of 21.9 m
792,792,1.0,23.84,3.19,-20.65,COLLAPSED,25.4,lost 87% of 23.8 m
462,462,1.0,21.75,1.38,-20.37,COLLAPSED,67.4,lost 94% of 21.8 m
864,864,1.0,23.59,3.41,-20.18,COLLAPSED,21.2,lost 86% of 23.6 m
813,813,1.0,25.38,5.89,-19.49,COLLAPSED,23.8,lost 77% of 25.4 m
787,787,1.0,22.86,3.82,-19.04,COLLAPSED,25.8,lost 83% of 22.9 m
823,823,1.0,24.79,5.79,-19.0,COLLAPSED,23.2,lost 77% of 24.8 m
505,505,1.0,20.09,1.5,-18.59,COLLAPSED,56.4,lost 93% of 20.1 m
984,984,1.0,21.27,2.94,-18.33,COLLAPSED,17.0,lost 86% of 21.3 m
452,452,1.0,19.2,2.49,-16.71,COLLAPSED,71.7,lost 87% of 19.2 m
597,597,1.0,20.03,3.78,-16.25,COLLAPSED,42.8,lost 81% of 20.0 m
292,292,1.0,18.44,2.62,-15.82,COLLAPSED,136.9,lost 86% of 18.4 m
705,705,1.0,16.99,1.36,-15.63,COLLAPSED,30.6,lost 92% of 17.0 m
102,102,1.0,16.78,1.23,-15.55,COLLAPSED,354.1,lost 93% of 16.8 m
997,997,1.0,18.97,3.49,-15.48,COLLAPSED,16.8,lost 82% of 19.0 m
1230,1230,1.0,19.33,4.3,-15.03,COLLAPSED,11.3,lost 78% of 19.3 m
1062,1062,1.0,16.75,1.9,-14.85,COLLAPSED,14.8,lost 89% of 16.8 m
460,460,1.0,17.66,3.12,-14.54,COLLAPSED,68.9,lost 82% of 17.7 m
756,756,1.0,15.21,0.8,-14.41,COLLAPSED,27.5,lost 95% of 15.2 m
1122,1122,1.0,17.9,3.68,-14.22,COLLAPSED,13.3,lost 79% of 17.9 m
1204,1204,1.0,18.31,4.35,-13.96,COLLAPSED,11.7,lost 76% of 18.3 m
327,327,1.0,17.95,4.03,-13.92,COLLAPSED,115.3,lost 78% of 17.9 m
1006,1006,1.0,16.88,3.26,-13.62,COLLAPSED,16.5,lost 81% of 16.9 m
739,739,1.0,16.06,2.57,-13.49,COLLAPSED,28.4,lost 84% of 16.1 m
368,368,1.0,16.01,2.61,-13.4,COLLAPSED,98.3,lost 84% of 16.0 m
691,691,1.0,16.38,3.44,-12.94,COLLAPSED,32.0,lost 79% of 16.4 m
367,367,1.0,14.88,1.99,-12.89,COLLAPSED,98.8,lost 87% of 14.9 m
482,482,1.0,16.16,3.63,-12.53,COLLAPSED,62.2,lost 78% of 16.2 m
1041,1041,1.0,14.09,1.92,-12.17,COLLAPSED,15.6,lost 86% of 14.1 m
542,542,1.0,13.85,1.71,-12.14,COLLAPSED,49.9,lost 88% of 13.8 m
1128,1128,1.0,12.79,0.97,-11.82,COLLAPSED,13.2,lost 92% of 12.8 m
722,722,1.0,15.05,3.24,-11.81,COLLAPSED,29.3,lost 78% of 15.1 m
348,348,1.0,13.4,1.78,-11.62,COLLAPSED,107.7,lost 87% of 13.4 m
991,991,1.0,12.84,1.26,-11.58,COLLAPSED,16.8,lost 90% of 12.8 m
1103,1103,1.0,15.24,3.76,-11.48,COLLAPSED,13.7,lost 75% of 15.2 m
107,107,1.0,13.7,2.28,-11.42,COLLAPSED,340.8,lost 83% of 13.7 m
819,819,1.0,13.08,1.85,-11.23,COLLAPSED,23.4,lost 86% of 13.1 m
694,694,1.0,13.73,3.29,-10.44,COLLAPSED,31.8,lost 76% of 13.7 m
778,778,1.0,13.44,3.02,-10.42,COLLAPSED,26.2,lost 78% of 13.4 m
170,170,1.0,12.23,2.02,-10.21,COLLAPSED,239.3,lost 83% of 12.2 m
200,200,1.0,11.87,1.75,-10.12,COLLAPSED,212.5,lost 85% of 11.9 m
519,519,1.0,13.18,3.17,-10.01,COLLAPSED,54.3,lost 76% of 13.2 m
205,205,1.0,12.0,2.2,-9.8,COLLAPSED,206.6,lost 82% of 12.0 m
641,641,1.0,10.72,0.97,-9.75,COLLAPSED,38.0,lost 91% of 10.7 m
359,359,1.0,11.14,1.64,-9.5,COLLAPSED,101.6,lost 85% of 11.1 m
139,139,1.0,11.36,1.9,-9.46,COLLAPSED,282.6,lost 83% of 11.4 m
1029,1029,1.0,10.97,1.62,-9.35,COLLAPSED,15.8,lost 85% of 11.0 m
1164,1164,1.0,12.15,2.84,-9.31,COLLAPSED,12.5,lost 77% of 12.2 m
358,358,1.0,10.26,0.99,-9.27,COLLAPSED,102.3,lost 90% of 10.3 m
893,893,1.0,10.27,1.08,-9.19,COLLAPSED,20.2,lost 89% of 10.3 m
1022,1022,1.0,11.95,2.87,-9.08,COLLAPSED,16.0,lost 76% of 11.9 m
189,189,1.0,11.35,2.29,-9.06,COLLAPSED,219.0,lost 80% of 11.3 m
326,326,1.0,9.79,0.97,-8.82,COLLAPSED,116.5,lost 90% of 9.8 m
508,508,1.0,8.99,0.63,-8.36,COLLAPSED,55.6,lost 93% of 9.0 m
1222,1222,1.0,10.24,2.27,-7.97,COLLAPSED,11.5,lost 78% of 10.2 m
295,295,1.0,8.14,0.6,-7.54,COLLAPSED,136.2,lost 93% of 8.1 m
854,854,1.0,7.96,0.69,-7.27,COLLAPSED,21.6,lost 91% of 8.0 m
475,475,1.0,7.85,0.63,-7.22,COLLAPSED,63.4,lost 92% of 7.8 m
635,635,1.0,7.55,0.72,-6.83,COLLAPSED,38.4,lost 90% of 7.5 m
291,291,1.0,7.89,1.45,-6.44,COLLAPSED,137.4,lost 82% of 7.9 m
532,532,1.0,73.45,33.55,-39.9,PARTIAL,52.2,lost 54% of 73.5 m
669,669,1.0,82.95,53.55,-29.4,PARTIAL,34.4,lost 35% of 83.0 m
656,656,1.0,82.86,53.85,-29.01,PARTIAL,35.8,lost 35% of 82.9 m
535,535,1.0,72.47,45.22,-27.25,PARTIAL,51.8,lost 38% of 72.5 m
215,215,1.0,51.31,27.11,-24.2,PARTIAL,195.7,lost 47% of 51.3 m
1161,1161,1.0,46.23,23.79,-22.44,PARTIAL,12.5,lost 49% of 46.2 m
573,573,1.0,55.13,35.92,-19.21,PARTIAL,45.2,lost 35% of 55.1 m
875,875,1.0,45.93,27.06,-18.87,PARTIAL,20.8,lost 41% of 45.9 m
911,911,1.0,42.84,24.72,-18.12,PARTIAL,19.6,lost 42% of 42.8 m
